Name;KUNST/WEG;VORAUSSETZUNG;SEITE;Erläuterungen
Feenberührt;Weg des Sprechers;Gebieterischer Ton;SG S. 184;FEENBERÜHRT Adepten auf diesem Pfad erhalten ein betörend schönes Erscheinungsbild. Ein Adept kann eine Vergleichende Probe auf Magie + Intuition + Initiatengrad gegen Willenskraft + Intuition des Ziels ablegen. Wenn das Ziel unterliegt, sieht es eine manabasierte, idealisierte Illusion des Adepten. Der Adept kann dann Magie + Initiatengrad statt Charisma bei allen Charisma-Proben gegen dieses Ziel einsetzen. Die Illusion hält für 24 Stunden an. Der Adept kann diese Illusion [1 + Initiatengrad]-mal am Tag hervorrufen. Der Entzug bei jedem dieser Versuche entspricht den Erfolgen (nicht Nettoerfolgen) des Ziels bei der Vergleichenden Probe (beträgt aber mindestens 2).
Fixierung;Fortgeschrittene Alchemie;–;SG S. 177;FIXIERUNG Der Zauberer lässt Karma in ein Alchemisches Erzeugnis fließen, um es länger haltbar zu machen. Wenn er das Erzeugnis herstellt, kann er zwischen 1 Karma und Karma in Höhe der Wirksamkeit des Erzeugnisses ausgeben. Wenn die Wirksamkeit des Erzeugnisses zu schwinden beginnt, verliert es 1 Stufe Wirksamkeit pro Tag statt pro Stunde. Außerdem erhält das Erzeugnis beim Widerstand gegen das Trennen (SR5, S. 307) einen Bonus in Höhe des Karmas, das der Zauberer dafür ausgegeben hat.
Flexible Signatur;Weg des Unentschlossenen;–;SG S. 174;FLEXIBLE SIGNATUR Der Charakter kann seine astrale Signatur nach Belieben ändern. Er kann sie so verändern, dass sie nicht zu seiner Identi zierung taugt, die astrale Signatur eines anderen Zauberers, den er askennt hat, vortäuschen, oder einfach das Verschwinden seiner astralen Signatur beschleunigen. Wenn jemand versucht, die verfälschte Signatur zu askennen, steigt der Schwellenwert dafür um den Initiatengrad des Charakters. Wenn also ein Initiat des 2. Grades eine verfälschte Signatur hinterlässt, könnte ein anderer Zauberer diese mit 3 Erfolgen wie üblich askennen, aber erst mit 5 Erfolgen die Wahrheit hinter der Fälschung sehen. Man kann nur astrale Signaturen nachahmen, die man selbst askennt hat, und der Spielleiter kann dafür eine Erinnerungsprobe verlangen. Man kann auch die Haltbarkeit seiner astralen Signatur um seinen Initiatengrad in Stunden verringern. Ein Initiat des 2. Grades kann also bei allen Wirkungen mit Kraftstufe 2 oder weniger gar keine Signatur hinterlassen, und die Signatur auf einer Wirkung mit Kraftstufe 5 würde nur 3 Stunden lang halten
Fortgeschrittene Alchemie;Fortgeschrittene Alchemie;Fixierung;SG S. 177;FORTGESCHRITTENE ALCHEMIE VORAUSSETZUNG: FIXIERUNG Mit fortgeschrittener Alchemie kann der Zauberer magische Präparate (S. 252) herstellen, die den Anwender mit besonderen Kräften ausstatten … oder ihn ver uchen. Der Zauberer hat außerdem Zugriff auf weitere Auslöser (siehe Fortgeschrittene Alchemie, S. 177).
Gefahrensinn;Weissagung;–;SG S. 171;FORTGESCHRITTENE ALCHEMIE VORAUSSETZUNG: FIXIERUNG Mit fortgeschrittener Alchemie kann der Zauberer magische Präparate (S. 252) herstellen, die den Anwender mit besonderen Kräften ausstatten … oder ihn verfluchen. Der Zauberer hat außerdem Zugriff auf weitere Auslöser (siehe Fortgeschrittene Alchemie, S. 177).
Geomantie;Geomantie;–;SG S. 167;ohne
Geschosshagel;Weg des Kriegers;Geschossmeisterschaft;SG S. 182;"GESCHOSSHAGEL VORAUSSETZUNG: GESCHOSSMEISTERSCHAFT Eine einzelne improvisierte Waffe in den Händen eines Adepten ist tödlich; eine Handvoll davon ist sogar noch schlimmer. Ein Adept, der diese Verbesserung wählt, kann eine Handvoll bereitgemachter Wurfwaffen auf seine Ziele schleudern. Bei der Wurfwaffen-Angriffsprobe kann der Adept die Regeln für enge und mittlere Streuung von Schrot inten (SR5, S. 182) verwenden. Er muss dazu entweder zwei oder mehr Wurfwaffen oder eine Handvoll (vom Spielleiter genehmigter) improvisierter Waffen bereitgemacht haben."
Gesteigerte Fingerfertigkeit;Weg des Zauberers;Geschickte Finger;SG S. 185;GESTEIGERTE FINGERFERTIGKEIT VORAUSSETZUNG: GESCHICKTE FINGER Mit dieser Verbesserung hat der Adept eine bessere Kontrolle bei Taschenspielerei und -diebstahl und vermeidet es, entdeckt zu werden. Das sind echte Taschenspielertricks, die mundane Zauberer gerne beherrschen würden. Um die Taschenspielertricks des Adepten zu bemerken, erhält jeder, der ihn beobachtet oder zu seinem Ziel wird, pro Initiatengrad des Adepten einen zusätzlichen Würfelpoolmodifikator von -1 auf seine Wahrnehmungsproben
Großes Ritual;Fortgeschrittene Ritualzauberei;–;SG S. 177;GROSSES RITUAL Das Große Ritual erlaubt einem Zauberer, an einem Ritual teilzunehmen, ohne Würfel dazu beizutragen. Stattdessen verstärkt er das Ritual, indem er sein Magieattribut zur Kraftstufe des Rituals addiert, um dessen Limit, Größe und Wirkung zu bestimmen. Diese erhöhte Kraftstufe wirkt sich aber nicht auf den Schritt Besiegeln (SR5, S. 295) aus. Der Zauberer widersteht einem Entzug, als
Hautkünstler;Weg des Künstlers;Melaninkontrolle;SG S. 183;HAUTKÜNSTLER VORAUSSETZUNG: MELANINKONTROLLE Durch diese Verbesserung wird der Körper des Adepten zu seiner Leinwand. Er erlangt eine extrem feine Kontrolle über seine Hautpigmente und kann auch neue Farben (Schwarz, Rot und Blau) auf seiner Haut erscheinen lassen. Damit kann der Adept irgendwo auf seinem Körper „Tätowierungen“ erscheinen lassen oder seine Haut insgesamt in einen unnatürlichen Ton färben.
Heißes Qi;Weg des Ausgebrannten;Lebender Fokus;SG S. 182;HEISSES QI VORAUSSETZUNG: LEBENDER FOKUS Wenn der Adept ausbrennt, wird es ihm wegen seines zu geringen Magieattributs eigentlich unmöglich, manche Foki zu benutzen (siehe SR5, S. 317). Mit der Technik des Heißen Qi kann der Adept einen Qi-Fokus weiter benutzen, erleidet aber Geistigen Schaden in Höhe der Differenz zwischen Kraftstufe des Fokus und seinem Magieattribut, wenn die des Fokus höher ist (diesem Schaden kann nicht widerstanden werden). Wenn die Kraftstufe des Fokus das Doppelte des Magieattributs übersteigt, wird der Schaden Körperlich. Die Kraftstufe eines so benutzten Fokus darf nicht über 12 liegen.
Infusion;Weg des Unentschlossenen;–;SG S. 181;INFUSION VORAUSSETZUNG: ADEPTENZENTRIERUNG AKTIVIERUNG: KOMPLEXE HANDLUNG Wenn der Adept sich konzentriert, kann er Energie aus dem Kosmos ziehen und in eine seiner vorhandenen Kräfte kanalisieren. Für jeden Initiatengrad kann der Adept 0,5 Kraftpunkte zu einer Kraft addieren. Die maximale Stufe einer so verstärkten Kraft darf nicht höher als das Magieattribut des Adepten sein. Die Erhöhung wirkt für [Magie] Kampfrunden. Sobald sie endet, erleidet der Adept Geistigen Schaden (dem er nicht widerstehen kann) durch die Stärke des Qi. Der Schaden entspricht den vierfachen Gesamtkosten in Kraftpunkten der verbesserten Kraft (nicht nur der Verbesserung selbst). Zusätzlich zu dem Schaden verliert der Adept für [Magie] Minuten eine Anzahl von Kraftpunkten gleich den zusätzlich erhaltenen. Der Spielleiter entscheidet, welche Kräfte davon betroffen sind, und der Adept sollte den Verlust einer Kraft erst bemerken, wenn er versucht, sie einzusetzen.
Intensivierung;Intensivierung;–;SG S. 178;INTENSIVIERUNG Der Charakter kann einen aufrechterhaltenen Zauber in eine Art Schleife zwingen, sodass dieser sich selbst ohne sein Zutun aufrechterhält. Um einen Zauber zu intensivieren, muss der Charakter eine Komplexe Handlung aufwenden und Karma ausgeben, während er den Zauber aufrechterhält. Er kann zwischen 1 Karma und der Kraftstufe des Zaubers in Karma ausgeben. Der Zauber erhält gegen Versuche, ihn zu bannen, einen Würfelpoolbonus in Höhe des Karmas, das der Charakter für ihn ausgegeben hat.
Kanalisierung;Kanalisierung;–;SG S. 172;KANALISIERUNG Wenn ein Zauberer einen Geist herbeiruft, kann er diesem erlauben, Besitz von ihm zu ergreifen, statt ihn auf der Astralebene zu belassen, von wo aus er manifestieren (SR5, S. 313) oder materialisieren (SR5, S. 398) müsste. Dies muss zum Zeitpunkt der Beschwörung festgelegt werden. Kanalisierung wird behandelt, als hätte der Geist die Kraft Besessenheit (S. 224), wenn auch mit einigen Ausnahmen: • Der Zauberer kann seine eigenen Fertigkeiten benutzen und hat die Kontrolle über seinen Körper. • Er kann dem Geist die Kontrolle über seinen Körper übergeben, aber dies verbraucht einen Dienst. • Der Zauberer kann alle Kräfte des Geistes benutzen, aber auch das verbraucht jeweils einen Dienst. • Weil zwei Bewusstseine gleichzeitig im selben Körper hausen, wird Manazaubern oder analogen Kräften mit dem jeweils niedrigeren Geistigen Attribut der beiden widerstanden. Der Schaden solcher Zauber oder Kräfte trifft beide. • Der Geist kann den Körper des Zauberers erst verlassen, wenn entweder alle Dienste verbraucht sind, der Zauberer ihn entlässt oder die Zeit gemäß den Regeln für herbeigerufene Geister vorbei ist.
Klauen;Weg des Tieres;Keratinkontrolle;SG S. 184;KLAUEN VORAUSSETZUNG: KERATINKONTROLLE Der Adept zieht Kraft aus seiner animalischen Seite und lässt sich dicke, scharfe Krallen wie ein Raubtier wachsen. Der Schadenscode seiner Angriffe im Waffenlosen Kampf steigt um 1.
Kraftpunkt;Weg des Unentschlossenen;–;SG S. 181;KRAFTPUNKT Ein Adept kann statt einer metamagischen Fähigkeit einen Kraftpunkt erhalten. Er kann das jedes Mal machen, wenn er einen neuen Initiatengrad erreicht.
Luftwandeln;Weg des Athleten;–;SG S. 182;LUFTWANDELN VORAUSSETZUNG: LEICHTER KÖRPER Der Adept kann kurzzeitig auf Luft gehen, als wäre sie Fels. Addieren Sie den Initiatengrad des Adepten zu seiner Geschicklichkeit, um die maximale Sprungweite (SR5, S. 134) zu berechnen.
Maskierung;Weg des Unentschlossenen;–;SG S. 174;MASKIERUNG Der Charakter lernt, das Aussehen seiner Aura und seiner astralen Gestalt zu verändern. Er kann sie mundan aussehen lassen – oder so, als sei sein Magieattribut um bis zu seinen Initiatengrad höher oder niedriger als in Wirklichkeit. Wenn jemand versucht, die maskierte Aura des Charakters zu askennen, wird die Askennenprobe eine Vergleichende Probe gegen seine Magie + Initiatengrad. Wenn der Gegner Nettoerfolge erzielt, sieht er sowohl die Maskierung als auch die echte Aura des Charakters. Wenn der Charakter astral wahrnehmen kann, kann er seine Aura sogar als etwas anderes (die eines Geistes oder Fokus) aussehen lassen. Der Charakter kann mit dieser Metamagie auch eine Anzahl von gebundenen Foki bis zu seinem Initiatengrad maskieren.
Meister der Neun Chakren;Weg des Zauberers;Nervenschlag;SG S. 185;MEISTER DER NEUN CHAKREN VORAUSSETZUNG: NERVENSCHLAG Der Adept hat ein besseres Verständnis vom Fluss der Magie in der Lebensenergie einer Person. Dadurch kann er Punkte mit starker Energiekonzentration an seinem Ziel treffen, um dessen Magieattribut kurzzeitig zu senken. Dies funktioniert wie beim Nervenschlag (S. 203), aber der Angriff senkt stattdessen die Magie. Der Magieverlust wirkt ähnlich wie Hintergrundstrahlung, da das Ziel bei Proben mit Magie einen geringeren Würfelpool zur Verfügung hat. Wenn die Magie des Ziels auf 0 sinkt, kann es keine magischen Fertigkeiten oder Adeptenkräfte mehr einsetzen, bis sich das Magieattribut regeneriert hat.
Meister des Taijiquan;Weg des Kriegers;Gegenangriff;SG S. 183;MEISTER DES TAIJIQUAN VORAUSSETZUNG: GEGENANGRIFF Weltweit praktiziert man Taijiquan (besser als Tai Chi bekannt) als Defensivtraining und zur Gesundheitsförderung. Ein Adept, der diese Kampfkunst gemeistert hat, fließt im Kampf – besonders gegen mehrere Nahkämpfer – wie ein Fluss. Er benutzt die Stärke der verschiedenen Angreifer, um ihre Attacken aufeinander umzulenken. Wenn der Adept einen Nahkampfangriff erfolgreich mit Gegenangriff kontert, kann er diesen Angriff auch auf einen anderen Gegner umlenken. Dieser muss sich dann gegen den ursprünglichen Angriff wehren, wobei die Erfolge des Gegenangriffs herangezogen werden. Der Schadenscode entspricht dem ursprünglichen Schadenscode des Angriffs. Diese Herrschaft über kinetische Energien wirkt nur im Nahkampf gegen mehrere Gegner. Man kann den Angreifer nicht selbst zum neuen Ziel machen
Nekromantie;Nekromantie;–;SG S. 168;ohne
Perfektes Raubtier;Weg des Tieres;–;SG S. 184;PERFEKTES RAUBTIER Wer diesen Weg einschlägt, wird zum Raubtier, und Tiere spüren das. Ein Tier, das (auf Befehl oder aus eigenem Antrieb) versucht, den Adepten anzugreifen, muss eine Vergleichende Probe auf Willenskraft + Intuition gegen Magie + Intuition + Initiatengrad ablegen. Misslingt die Probe, kann es den Adepten – entweder aus Respekt vor seiner Stärke oder aus Angst, gefressen zu werden – nicht angreifen und wird entsprechend handeln. Erwachte Critter erhalten einen Würfelpoolbonus von +2 auf diese Probe. Das Tier kann aber Begleiter des Adepten angreifen. Wenn der Adept das Tier angreift, ist der Bann gebrochen
Präsenz;Weg des Sprechers;–;SG S. 184;PRÄSENZ Die Präsenz des Adepten ist sehr einnehmend, manchmal sogar sichtbar, wenn er spricht. Ein Adept mit dieser Metamagie erhält seinen Initiatengrad als Würfelpoolbonus zu allen Proben mit einer Sozialen Fertigkeit (die beim Erlernen der Metamagie festgelegt wird). Diese Metamagie kann nicht mehrmals gewählt werden. Der Bonus wirkt nur beim Einsatz der Fertigkeit gegen andere, nicht bei Widerstandsproben des Adepten gegen soziale Fertigkeiten anderer Charaktere.
Psychometrie;Psychometrie, der Geisterweg;–;SG S. 168/170;PSYCHOMETRIE Bei der Psychometrie erlebt man quasi Flashbacks – eine Flut von Sinneseindrücken und Emotionen, die nicht ein gedämmt werden kann. Wenn der Zauberer diese Fähigkeit erst entwickelt hat, kann es schwer werden, die Tür wieder zu schließen. Alles, was der Zauberer berührt, erzeugt diese Art von Feedback. Muss man wirklich die Lebensgeschichte jedes Glases und Barhockers kennen? Der Zauberer lernt, geistige Schilde zu errichten, die Ablenkungen aus all den Eindrücken der astralen Spuren heraus ltern. Er braucht dann nur ein paar Sekunden, um die Schilde beim Versuch, einen Gegenstand zu lesen, zu heben oder zu senken. Um einen Gegenstand zu „lesen“, legt der Zauberer eine Probe auf Askennen + Intuition + Initiatengrad [Astral] ab. Die Modi katoren und Ergebnisse dafür nden Sie in der Tabelle Psychometrie (S. 170). Während der Zauberer einen Gegenstand liest, erhält er einen Würfelpoolmodi kator von -2 auf alle anderen Handlungen. Außerdem hat er leider keine Kontrolle darüber, wie lange dieses Lesen dauert, und kann es auch nicht unterbrechen. Es kann 1 Minute, 5 Minuten oder noch länger dauern. Der Spielleiter kann die Dauer mit 1W6 bestimmen oder aufgrund der psychometrischen Erfahrung des Charakters festlegen.
Qi-Formung;Weg des Unentschlossenen;–;SG S. 181;QI-FORMUNG VORAUSSETZUNG: ADEPTENZENTRIERUNG AKTIVIERUNG: KOMPLEXE HANDLUNG Ein Adept, der mit sich im Reinen ist, kann sein Qi wie nassen Ton formen. Diese Fähigkeit gestattet es, Qi von einer Kraft kurzfristig auf eine andere, bereits mit Kraftpunkten bezahlte, Kraft zu transferieren. Für jeden Initiatengrad kann der Adept 0,25 Kraftpunkte einer Kraft in eine andere investieren. Die verbesserte Kraft darf in ihrer Stufe das Magieattribut des Adepten nicht übersteigen. Diese Kraftübertragung hält für [Magie] Minuten an. Sobald die Übertragung endet, erleidet der Adept Geistigen Schaden (dem er nicht widerstehen kann) gleich dem Vierfachen der Erhöhung
Rattenfänger;Weg des Künstlers;–;SG S. 183;RATTENFÄNGER Die Kunstfertigkeit des Adepten wird unglaublich. Das Publikum wird davon nicht nur gefesselt, sondern auch angezogen. Wer die Vorführung sieht oder hört, verfällt in eine leichte Trance. Der Adept kann eine Person oder eine Gruppe dazu bringen, nichts anderes zu tun, als seine Vorführung zu genießen. Er muss eine Sichtverbindung zu seinen Zielen haben. Der Adept legt eine Vergleichende Probe auf Vorführung + Charisma [Magie] gegen Willenskraft + Charisma der Ziele ab. Wenn mehrere Personen betroffen sind, benutzen Sie den größten Würfelpool der Verteidiger und addieren +1 pro zusätzlichem Ziel (maximal +5). Gelingt dem Adepten die Probe, folgen die Ziele dem Adepten während der Vorführung [Charisma x 10] Minuten lang, während er seine Vorführung fortsetzt. Personen, die sich in dieser Trance beenden, können durch starke Ablenkung – wie lauten Lärm oder harte Stöße – aus ihrer Trance gerissen werden.
Reinigung;Reinigung;–;SG S. 180;REINIGUNG Mit dieser Metamagie kann der Zauberer vorübergehend die Hintergrundstrahlung senken. Reinigung wirkt nur auf positive Hintergrundstrahlung wie die einer Domäne (S. 31) oder von ausgerichtetem Mana. Der Zauberer führt eine Komplexe Handlung durch und legt eine Vergleichende Probe auf Antimagie + Magie + Initiatengrad [Astral] gegen einen Würfelpool in Höhe der Hintergrundstrahlung ab. Jeder Nettoerfolg kann entweder die Hintergrundstrahlung um 1 senken oder die Dauer einer zuvor erreichten Verringerung um 1 Kampfrunde erhöhen. Diese Senkung der Hintergrundstrahlung wirkt für [Magie] Kampfrunden und nur auf den Zauberer, der die Reinigung durchgeführt hat. Nach der Probe muss der Zauberer einem Entzug gleich der natürlichen Hintergrundstrahlung widerstehen. Wenn die Hintergrundstrahlung höher ist als das Magieattribut des Zauberers, ist der Entzug Körperlich. Wenn die Hintergrundstrahlung mehr als doppelt so hoch wie das Magieattribut des Zauberers ist, kann er die Reinigung nicht durchführen. Diese Handlung kann in jeder Kamprunde durchgeführt werden, um eine weitere Senkung oder eine verlängerte Dauer zu erreichen, aber der Zauberer muss auch jedes Mal dem Entzug widerstehen.
Schattenberührung;Der unsichtbare Weg;Spurloser Schritt;SG S. 185;SCHATTENBERÜHRUNG VORAUSSETZUNG: SPURLOSER SCHRITT Adepten auf dem Unsichtbaren Weg können lernen, keine Fingerabdrücke auf den Gegenständen zu hinterlassen, die sie berühren. Diese Fähigkeit kann auch verwendet werden, um das Auslösen Alchemischer Erzeugnisse mit Kontaktauslöser zu vermeiden. Dazu muss der Adept erfolgreich eine Vergleichende Probe mit Magie gegen die gegenwärtige Wirksamkeit des Erzeugnisses ablegen.
